"Timestamp","Total score","Have you heard the term “phishing” before?","Have you heard the term “phishing” before? [Score]","Have you heard the term “phishing” before? [Feedback]"," What do you think phishing is?"," What do you think phishing is? [Score]"," What do you think phishing is? [Feedback]","Have you ever done phishing training? ","Have you ever done phishing training?  [Score]","Have you ever done phishing training?  [Feedback]"," Who usually sends phishing attacks?"," Who usually sends phishing attacks? [Score]"," Who usually sends phishing attacks? [Feedback]","What should you do if you are not sure about a message or website?","What should you do if you are not sure about a message or website? [Score]","What should you do if you are not sure about a message or website? [Feedback]","Why is phishing dangerous?","Why is phishing dangerous? [Score]","Why is phishing dangerous? [Feedback]","What kind of information do you think phishing attacks try to steal?","What kind of information do you think phishing attacks try to steal? [Score]","What kind of information do you think phishing attacks try to steal? [Feedback]","Have you ever been fooled by a phishing email? ","Have you ever been fooled by a phishing email?  [Score]","Have you ever been fooled by a phishing email?  [Feedback]"," Are you confident that you will be able to identify any type of phishing email? "," Are you confident that you will be able to identify any type of phishing email?  [Score]"," Are you confident that you will be able to identify any type of phishing email?  [Feedback]"," Have you ever reported phishing emails? "," Have you ever reported phishing emails?  [Score]"," Have you ever reported phishing emails?  [Feedback]"
"2025/04/22 1:40:55 PM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/22 1:41:02 PM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/22 1:41:30 PM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/22 1:41:32 PM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:41:50 PM CST","70.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Classmates","0.00 / 10","Those people usually try to help you—not scam you. Online scammers often pretend to be someone else.","Click the link","0.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Your favorite food and drink","0.00 / 10"," scammers don’t care what you like to eat or play—they want your private info.","No","10.00 / 10","","No","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:43:23 PM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:43:56 PM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:45:25 PM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","No","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:45:59 PM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/22 1:47:30 PM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
